[3,899998];D;N
[5,199997];I;N
[6,899996];D;C
[8,499996];I;C
[9,299999];D;C
[10,1];I;C
[11,70001];D;C
[13,30001];I;C
[14,90002];D;C
[15,80002];I;C
[16,50003];A;N
[18,10003];D;N
[19,70004];I;N
[21,30005];D;N
[22,20005];I;N
[22,90005];D;N
[24,50006];I;C
[24,90006];D;N
[25,30006];I;N
[25,70006];D;C
[26,10006];A;N
[26,90007];I;N
[27,70007];D;N
[28,50007];I;C
[29,30008];D;C
[30,10008];I;C
[30,90008];D;N
[31,30008];I;N
[31,70008];D
[32,10008];I
[32,50008];D
[33,30006];D
[34,10005];I
[34,90004];I
[35,70003];I
[36,50002];D
[37,3];I
[37,7];D
[38,09999];I
[38,49998];D
[38,89998];I
[39,69997];D
[40,49995];A
[41,29994];D
[42,09993];I
[42,89992];D
[43,69991];D
[44,0999];I
[44,49989];D
[44,89989];I
[45,29988];D
[46,19987];I
[46,89986];D
[47,79984];I
[48,49983];D
[48,89983];D
[49,39982];I
[49,79981];I
[50,19981];A
[50,5998];A
[50,8998];D
[51,39979];D
[51,69978];I
[52,49977];D
[53,29976];A
[54,09975];I
[54,89973];D
[55,29973];D
[55,49973];D
[55,69972];I
[56,09972];I
[56,29971];I
[56,59971];D
[56,69971];I
[56,8997];D
[56,8997];I
[57,1997];A
[57,2997];D
[58,09969];D
[58,49968];I
[58,69968];I
[58,89967];D
[59,29967];D
[59,49966];D
[59,69966];I
[60,19965];D
[60,39965];A
[60,59965];D
[60,69965];I
[60,89964];D
[61,19964];I
[61,39964];D
[61,69963];D
[61,89963];D
[62,09962];I
[62,49962];D
[62,69962];D
[62,89961];D
[63,09961];I
[63,29961];D
[63,29961];I
[63,5996];A
[63,6996];D
[64,49959];I
[64,89958];D
[65,19958];I
[65,39957];A
[65,69957];I
[65,89957];D
[66,19956];D
[66,19956];A
[66,49956];I
[66,89955];D
[67,39954];I
[67,69954];D
[68,19953];I
[68,29953];D
[68,59953];D
[68,99952];I
[69,09952];D
[69,29951];I
[69,49951];D
[69,59951];A
[69,79951];D
[69,9995];I
[70,0995];D
[70,89949];D
[71,29948];I
[71,49948];D
[71,79948];I
[72,19947];I
[72,39947];I
[72,49947];D
[72,69946];I
[72,79946];D
[72,89946];A
[73,09946];D
[73,29945];I
[73,69945];D
[73,89944];D
[74,09944];I
[74,49944];D
[74,69943];D
[74,99943];I
[75,39942];D
[75,59942];D
[75,79942];I
[75,99941];D
[76,09941];I
[76,19941];D
[76,39941];I
[76,5994];A
[77,29939];I
[77,69939];D
[77,89938];I
[78,09938];A
[78,49937];I
[78,69937];D
[78,89937];A
[79,29936];D
[79,69936];I
[80,09935];D
[80,49934];I
[81,29933];D
[82,09932];I
[82,59931];A
[83,0993];A
[83,1993];A
[83,6993];D
[84,09929];I
[84,89928];D
[85,69926];I
[86,09926];D
[86,29926];A
[86,49925];A
[86,89925];I
[87,29924];D
[88,09923];I
[88,89922];D
[89,49921];A
[89,6992];A
[90,0992];I
[90,49919];D
[90,99918];I
[91,39918];D
[91,79917];I
[92,19917];D
[92,49916];I
[92,69916];A
[92,89915];A
[93,29915];D
[94,09914];I
[94,49913];D
[94,89912];I
[95,69911];D
[96,09911];I
[96,4991];D
[97,29909];I
[98,09908];A
[98,89906];D
[99,69905];I
[100,499];D
[101,299];A
[101,699];D
[102,099];I
[102,499];D
[102,899];A
[103,699];D
[104,499];A
[105,299];D
[106,099];I
[106,4989];I
[106,8989];D
[107,2989];D
[107,6989];A
[108,0989];D
[108,5989];I
[108,8989];D
[109,2989];A
[109,6989];A
[110,0989];D
[110,4989];D
[110,8989];I
[111,2989];I
[111,6989];D
[112,1989];D
[112,5989];A
[112,8988];D
[113,3988];I
[113,7988];D
[114,0988];A
[114,4988];A
[114,8988];D
[115,2988];I
[115,6988];A
[116,4988];D
[117,2988];A
[118,0988];I
[118,8988];D
[119,2988];D
[119,6987];A
[120,1987];A
[120,5987];D
[120,9987];I
[121,0987];D
[121,3987];I
[121,7987];D
[122,1987];A
[122,5987];D
[122,9987];A
[123,3987];D
[123,7987];I
[124,1987];D
[124,5987];I
[124,9987];A
[125,3987];D
[125,4987];I
[125,6987];D
[125,7987];I
[125,8987];D
[126,0986];I
[126,1986];D
[126,2986];I
[126,3986];D
[126,4986];I
[126,5986];D
[126,6986];I
[126,7986];D
[126,8986];I
[126,9986];D
[127,1986];I
[127,1986];D
[127,3986];I
[127,4986];D
[127,5986];I
[127,6986];D
[127,7986];I
[127,8986];D
[127,9986];I
[128,1986];A
[128,5986];D
[128,6987];I
[128,7987];D
[128,8987];I
[128,9987];D
[129,0987];I
[129,2987];D
[129,3987];I
[129,4987];D
[129,5987];I
[129,6987];D
[129,7987];I
[129,9987];D
[130,0987];I
[130,1987];D
[130,1987];I
[130,3988];D
[130,4988];I
[130,5988];D
[130,6988];I
[130,7988];D
[130,8988];I
[130,9988];D
[131,0988];I
[131,2988];A
[131,6988];D
[132,0989];D
[132,2989];D
[132,5989];I
[132,8989];D
[133,1989];D
[133,3989];D
[133,599];I
[133,599];D
[133,699];I
[133,899];D
[134,099];A
[134,899];D
[135,6991];A
[136,1991];I
[136,2991];D
[136,4991];I
[136,8992];A
[137,2992];D
[138,0992];I
[138,4993];D
[138,6993];I
[138,8993];A
[139,3993];D
[139,5993];I
[139,6993];D
[139,9993];I
[139,9993];D
[140,1994];D
[140,1994];I
[140,3994];D
[140,5994];A
[141,2994];D
[141,7995];D
[141,9995];I
[142,1995];D
[142,5995];D
[142,7995];I
[142,8995];A
[143,2995];D
[143,7996];I
[144,0996];A
[144,9996];I
[145,1997];D
[145,3997];D
[145,6997];I
[145,8997];D
[146,0997];I
[146,2997];D
[146,4997];I
[146,5997];D
[146,9998];A
[147,6998];D
[148,1998];D
[148,3999];D
[148,4999];I
[148,8999];D
[149,0999];D
[149,2999];I
[149,4999];D
[149,5999];I
[149,6999];D
[149,7999];I
[150];A
[150,2];I
[150,9];D
[151,3];I
[151,5];I
[151,7001];D
[151,8001];A
[152,3001];I
[152,6001];I
[152,7001];D
[152,8001];I
[152,9001];A
[153,1001];D
[153,3002];I
[154,1002];D
[154,5002];D
[154,7002];I
[154,9003];A
[155,3003];D
[155,5003];I
[155,7003];D
[156,1003];A
[156,5004];D
[157,0004];I

